Id,Strata Trade Type,Id Scheme,Trade Date,Start Date,End Date,Convention,Buy Sell,Notional,Fixed Rate,Price,PV,Quantity
IRS_LCH_BAR_192,Swap,OG,2018-11-29,2018-11-29,2038-12-03,EUR-FIXED-1Y-EURIBOR-6M,Sell,8500000,1.4055,127.720763604,2167526.58,1
IRS_LCH_BAR_193,Swap,OG,2018-11-29,2018-11-29,2038-12-03,EUR-FIXED-1Y-EURIBOR-6M,Sell,14100000,1.4038,127.688733539,3591027.85,1
IRS_LCH_BAR_194,Swap,OG,2018-11-29,2018-11-29,2038-12-03,EUR-FIXED-1Y-EURIBOR-6M,Sell,14100000,1.4066,127.741488941,3598466.36,1
IRS_LCH_BAR_196,Swap,OG,2018-11-29,2018-11-29,2038-12-03,EUR-FIXED-1Y-EURIBOR-6M,Sell,19700000,1.404,127.692501782,5017994.03,1
IRS_LCH_BAR_197,Swap,OG,2018-11-29,2018-11-29,2038-12-03,EUR-FIXED-1Y-EURIBOR-6M,Sell,14100000,1.4061,127.732068333,3597138.05,1
IRS_LCH_BAR_198,Swap,OG,2018-12-05,2018-12-05,2038-12-07,EUR-FIXED-1Y-EURIBOR-6M,Sell,31500000,1.3505,126.696959824,7711488.94000001,1
IRS_LCH_BAR_199,Swap,OG,2018-12-05,2018-12-05,2038-12-07,EUR-FIXED-1Y-EURIBOR-6M,Sell,31500000,1.3534,126.751631925,7728710.66,1
IRS_LCH_BAR_200,Swap,OG,2018-12-13,2018-12-13,2022-12-17,EUR-FIXED-1Y-EURIBOR-6M,Buy,-5.8e+07,0.146,101.724320835,-742498.600000001,1
IRS_LCH_BAR_201,Swap,OG,2018-12-13,2018-12-13,2038-12-17,EUR-FIXED-1Y-EURIBOR-6M,Sell,61500000,1.3667,127.033994708,15267329.1,1
IRS_LCH_BAR_202,Swap,OG,2018-12-13,2018-12-13,2038-12-17,EUR-FIXED-1Y-EURIBOR-6M,Sell,60500000,1.369,127.077419985,15045352.13,1
IRS_LCH_BAR_203,Swap,OG,2018-12-13,2018-12-13,2024-12-17,EUR-FIXED-1Y-EURIBOR-6M,Buy,-4.6e+07,0.424,104.273035402,-1619708.21,1
IRS_LCH_BAR_204,Swap,OG,2018-12-13,2018-12-13,2038-12-17,EUR-FIXED-1Y-EURIBOR-6M,Sell,66500000,1.3745,127.181263038,16606508.8,1
IRS_LCH_BAR_205,Swap,OG,2018-12-14,2018-12-14,2038-12-18,EUR-FIXED-1Y-EURIBOR-6M,Sell,4e+07,1.366,127.030243988,9928071.13,1
IRS_LCH_BAR_207,Swap,OG,2019-11-30,2019-11-30,2038-12-18,EUR-FIXED-1Y-EURIBOR-6M,Sell,5.2e+07,1.3665,127.039688477,12911403.6,1
IRS_LCH_BAR_208,Swap,OG,2018-12-14,2018-12-14,2038-12-18,EUR-FIXED-1Y-EURIBOR-6M,Sell,1.3e+07,1.375,127.200244798,3248723.22,1
IRS_LCH_BAR_209,Swap,OG,2018-12-17,2018-12-17,2022-12-19,EUR-FIXED-1Y-EURIBOR-6M,Buy,-26250000,0.1195,101.654980551,-319081.510000002,1
IRS_LCH_BAR_211,Swap,OG,2019-11-30,2019-11-30,2022-12-19,EUR-FIXED-1Y-EURIBOR-6M,Buy,-52500000,0.1225,101.662443261,-642080.950000003,1
IRS_LCH_BAR_212,Swap,OG,2018-12-17,2018-12-17,2022-12-19,EUR-FIXED-1Y-EURIBOR-6M,Buy,-26250000,0.125,101.668662186,-322672.940000001,1
IRS_LCH_BAR_213,Swap,OG,2018-12-19,2018-12-19,2022-12-21,EUR-FIXED-1Y-EURIBOR-6M,Buy,-5e+07,0.10583,101.624757109,-595206.899999999,1
IRS_LCH_BAR_214,Swap,OG,2018-12-19,2018-12-19,2022-12-21,EUR-FIXED-1Y-EURIBOR-6M,Buy,-4.5e+07,0.1045,101.621441142,-534194.030000001,1
IRS_LCH_BAR_218,Swap,OG,2019-02-20,2019-02-20,2034-02-20,EUR-FIXED-1Y-EURIBOR-6M,Sell,16500000,1.019,116.660389876,2452530.69,1
IRS_LCH_BAR_220,Swap,OG,2019-02-20,2019-02-20,2069-02-20,EUR-FIXED-1Y-EURIBOR-6M,Sell,12300000,1.212,168.277400486,7991253.75,1
IRS_LCH_BAR_223,Swap,OG,2019-02-20,2019-02-20,2044-02-20,EUR-FIXED-1Y-EURIBOR-6M,Sell,2.5e+07,1.239,130.804355608,7067367.02,1
IRS_LCH_BAR_224,Swap,OG,2019-02-21,2019-02-21,2038-02-21,EUR-FIXED-1Y-EURIBOR-6M,Sell,7e+07,1.1575,122.315714766,14158511.32,1
IRS_LCH_BAR_226,Swap,OG,2019-02-22,2019-02-22,2053-02-22,EUR-FIXED-1Y-EURIBOR-6M,Sell,49500000,1.225,143.436193343,20003003.77,1
IRS_LCH_BAR_227,Swap,OG,2019-02-22,2019-02-22,2033-02-22,EUR-FIXED-1Y-EURIBOR-6M,Sell,16500000,0.95,115.037877755,2192543.63,1
IRS_LCH_BAR_23,Swap,OG,2017-03-22,2017-03-22,2022-03-24,EUR-FIXED-1Y-EURIBOR-6M,Sell,2.5e+07,0.261,101.391042759,280454.800000001,1
IRS_LCH_BAR_230,Swap,OG,2019-03-08,2019-03-08,2029-03-12,EUR-FIXED-1Y-EURIBOR-6M,Buy,-1.58e+08,0.57949,108.520428864,-11332338.61,1
IRS_LCH_BAR_231,Swap,OG,2019-03-08,2019-03-08,2034-03-12,EUR-FIXED-1Y-EURIBOR-6M,Buy,-94500000,0.9396,115.592696481,-13052006.29,1
IRS_LCH_BAR_232,Swap,OG,2019-03-08,2019-03-08,2039-03-12,EUR-FIXED-1Y-EURIBOR-6M,Buy,-31700000,1.1165,122.522561223,-6456732.96,1
IRS_LCH_BAR_233,Swap,OG,2019-03-08,2019-03-08,2026-03-12,EUR-FIXED-1Y-EURIBOR-6M,Buy,-134200000,0.2766,104.426323939,-4766209.25999999,1
IRS_LCH_BAR_234,Swap,OG,2019-03-08,2019-03-08,2024-03-12,EUR-FIXED-1Y-EURIBOR-6M,Buy,-118200000,0.0764,102.303205889,-2051032.53,1
IRS_LCH_BAR_235,Swap,OG,2019-03-08,2019-03-08,2021-03-12,EUR-FIXED-1Y-EURIBOR-6M,Buy,-1.87e+08,-0.1835,100.219287746,-328585.020000011,1
IRS_LCH_BAR_236,Swap,OG,2019-05-23,2019-05-23,2039-05-23,EUR-FIXED-1Y-EURIBOR-6M,Buy,-5e+06,0.958,119.626713643,-868292.859999999,1
IRS_LCH_BAR_24,Swap,OG,2017-03-22,2017-03-22,2027-03-24,EUR-FIXED-1Y-EURIBOR-6M,Sell,4.4e+07,0.83,108.826139932,3411147.79,1
IRS_LCH_BAR_242,Swap,OG,2019-07-08,2019-07-08,2049-07-08,EUR-FIXED-1Y-EURIBOR-6M,Sell,8500000,0.65,121.085949835,1530325.07,1
IRS_LCH_BAR_243,Swap,OG,2019-07-08,2019-07-08,2043-07-08,EUR-FIXED-1Y-EURIBOR-6M,Buy,-34500000,0.63,115.705002663,-4555632.3,1
IRS_LCH_BAR_244,Swap,OG,2019-09-04,2019-09-04,2034-09-04,EUR-FIXED-1Y-EURIBOR-6M,Buy,-1.2e+07,-0.039,101.661210549,18523.370000001,1
IRS_LCH_BAR_245,Swap,OG,2019-09-30,2019-09-30,2044-09-30,EUR-FIXED-1Y-EURIBOR-6M,Sell,1e+06,0.176,105.30624657,27168.46,1
IRS_LCH_BAR_246,Swap,OG,2019-09-30,2019-09-30,2049-09-30,EUR-FIXED-1Y-EURIBOR-6M,Sell,4e+06,0.16906,106.966919952,154015.69,1
IRS_LCH_BAR_247,Swap,OG,2019-09-30,2019-09-30,2069-09-30,EUR-FIXED-1Y-EURIBOR-6M,Sell,1500000,0.06,110.82930133,109891.57,1
IRS_LCH_BAR_248,Swap,OG,2019-10-22,2019-10-22,2034-10-22,EUR-FIXED-1Y-EURIBOR-6M,Sell,8e+06,0.28,106.282215299,352562.870000001,1
IRS_LCH_BAR_249,Swap,OG,2019-10-22,2019-10-22,2029-10-22,EUR-FIXED-1Y-EURIBOR-6M,Sell,3500000,0.026,103.607945714,73621.5800000001,1
IRS_LCH_BAR_25,Swap,OG,2017-03-22,2017-03-22,2032-03-24,EUR-FIXED-1Y-EURIBOR-6M,Sell,3.3e+07,1.181,117.183909415,5108436.3,1
IRS_LCH_BAR_251,Swap,OG,2019-10-22,2019-10-22,2069-10-22,EUR-FIXED-1Y-EURIBOR-6M,Sell,4300000,0.3535,125.768808305,955378.48,1
IRS_LCH_BAR_252,Swap,OG,2019-10-22,2019-10-22,2044-10-22,EUR-FIXED-1Y-EURIBOR-6M,Sell,16500000,0.449,112.086943382,1561512.94,1
IRS_LCH_BAR_253,Swap,OG,2019-10-22,2019-10-22,2049-10-22,EUR-FIXED-1Y-EURIBOR-6M,Sell,4e+06,0.4549,115.526262236,494932.79,1
IRS_LCH_BAR_26,Swap,OG,2017-04-12,2017-04-12,2037-10-20,EUR-FIXED-1Y-EURIBOR-6M,Sell,8e+07,1.6525,130.769510725,22931717.41,1
IRS_LCH_BAR_261,Swap,OG,2019-12-09,2019-12-09,2038-12-11,EUR-FIXED-1Y-EURIBOR-6M,Buy,-79400000,0.461,109.931410288,-6129229.34999999,1
IRS_LCH_BAR_262,Swap,OG,2019-12-09,2019-12-09,2049-12-11,EUR-FIXED-1Y-EURIBOR-6M,Sell,5.2e+07,0.512,117.341161138,7362221.91,1
IRS_LCH_BAR_263,Swap,OG,2019-12-11,2019-12-11,2049-12-13,EUR-FIXED-1Y-EURIBOR-6M,Sell,5.2e+07,0.504,117.101167605,7234379.25,1
IRS_LCH_BAR_264,Swap,OG,2019-12-24,2019-12-24,2049-12-24,EUR-FIXED-1Y-EURIBOR-6M,Sell,4e+06,0.5783,119.355822918,647871.06,1
IRS_LCH_BAR_265,Swap,OG,2019-12-24,2019-12-24,2044-12-24,EUR-FIXED-1Y-EURIBOR-6M,Buy,-6e+06,0.5845,115.553050969,-775964.579999999,1
IRS_LCH_BAR_266,Swap,OG,2019-12-24,2019-12-24,2020-12-24,EUR-FIXED-1Y-EURIBOR-6M,Buy,-7e+07,-0.329,100.075883545,22223.3100000024,1
IRS_LCH_BAR_267,Swap,OG,2020-02-20,2020-02-20,2045-02-20,EUR-FIXED-1Y-EURIBOR-6M,Sell,6e+06,0.3426,109.57226312,418407.5,1
IRS_LCH_BAR_269,Swap,OG,2020-02-20,2020-02-20,2055-02-20,EUR-FIXED-1Y-EURIBOR-6M,Sell,1.4e+07,0.331,114.824503396,1675579.02,1
IRS_LCH_BAR_27,Swap,OG,2017-04-12,2017-04-12,2037-10-24,EUR-FIXED-1Y-EURIBOR-6M,Sell,8.5e+07,1.8,133.409259561,26588519.55,1
IRS_LCH_BAR_270,Swap,OG,2020-02-20,2020-02-20,2055-02-20,EUR-FIXED-1Y-EURIBOR-6M,Sell,1.8e+07,0.3151,114.262769201,2053203.73,1
