Id,Security Id,Security Id Scheme,Start Date,End Date,Fixed Rate,Coupon Frequency,First coupon,Currency,Notional
XS1803247557,XS1803247557,OG-Security,2018-04-12,2026-10-12,1.125,1,2018-04-12,EUR,1
XS1806124753,XS1806124753,OG-Security,2018-04-13,2025-04-13,1.25,1,2018-04-13,EUR,1
XS1808338542,XS1808338542,OG-Security,2018-04-17,2024-04-17,1,1,2018-04-17,EUR,1
XS1808739459,XS1808739459,OG-Security,2018-04-18,2025-04-22,0.875,1,2018-04-18,EUR,1
XS1809240515,XS1809240515,OG-Security,2018-04-19,2023-04-19,1.125,1,2018-04-19,EUR,1
XS1810087251,XS1810087251,OG-Security,2018-04-26,2022-10-26,0.125,1,2018-04-26,EUR,1
XS1813593313,XS1813593313,OG-Security,2018-04-27,2026-04-27,1.625,1,2018-04-27,EUR,1
XS1815116568,XS1815116568,OG-Security,2018-05-02,2024-05-02,0.75,1,2018-05-02,EUR,1
XS1823246803,XS1823246803,OG-Security,2018-05-22,2026-05-22,1.125,1,2018-05-22,EUR,1
XS1823485039,XS1823485039,OG-Security,2018-05-22,2025-05-22,1,1,2018-05-22,EUR,1
XS1823502650,XS1823502650,OG-Security,2018-05-22,2025-05-22,0.875,1,2018-05-22,EUR,1
XS1823532640,XS1823532640,OG-Security,2018-05-22,2023-11-22,1.125,1,2018-05-22,EUR,1
XS1824294901,XS1824294901,OG-Security,2018-05-25,2023-05-25,0.2,1,2018-05-25,EUR,1
XS1825405878,XS1825405878,OG-Security,2018-05-25,2023-05-25,0.125,1,2018-05-25,EUR,1
XS1828032786,XS1828032786,OG-Security,2018-06-01,2025-12-01,1.375,1,2018-06-01,EUR,1
XS1828033834,XS1828033834,OG-Security,2018-06-01,2029-12-01,2,1,2018-06-01,EUR,1
XS1829217428,XS1829217428,OG-Security,2018-05-30,2022-11-30,0.75,1,2018-05-30,EUR,1
XS1840618059,XS1840618059,OG-Security,2018-06-26,2026-06-26,1.5,1,2018-06-26,EUR,1
XS1850111789,XS1850111789,OG-Security,2018-07-03,2025-07-16,0.375,1,2018-07-03,EUR,1
XS1852213930,XS1852213930,OG-Security,2018-07-05,2021-07-05,0.25,1,2018-07-05,EUR,1
XS1854166078,XS1854166078,OG-Security,2018-07-10,2026-07-10,2,1,2018-07-10,EUR,1
XS1858912915,XS1858912915,OG-Security,2018-07-23,2023-07-23,1,1,2018-07-23,EUR,1
XS1859010685,XS1859010685,OG-Security,2018-07-24,2026-07-24,1.5,1,2018-07-24,EUR,1
XS1862437909,XS1862437909,OG-Security,2018-08-03,2020-08-03,0.139,4,2018-08-03,EUR,1
XS1863994981,XS1863994981,OG-Security,2018-08-09,2022-08-09,0.5,1,2018-08-09,EUR,1
XS1871094931,XS1871094931,OG-Security,2018-08-29,2023-08-29,0.375,1,2018-08-29,EUR,1
XS1871439342,XS1871439342,OG-Security,2018-08-29,2023-08-29,0.75,1,2018-08-29,EUR,1
XS1872032799,XS1872032799,OG-Security,2018-08-30,2028-08-30,1.375,1,2018-08-30,EUR,1
XS1880928459,XS1880928459,OG-Security,2018-09-18,2028-09-18,1.5,1,2018-09-18,EUR,1
XS1881014374,XS1881014374,OG-Security,2018-09-19,2024-07-15,0.2,1,2018-09-19,EUR,1
XS1882544627,XS1882544627,OG-Security,2018-09-20,2023-09-20,1,1,2018-09-20,EUR,1
XS1882544973,XS1882544973,OG-Security,2018-09-20,2028-09-20,2,1,2018-09-20,EUR,1
XS1882681452,XS1882681452,OG-Security,2018-09-25,2028-09-25,1.5,1,2018-09-25,EUR,1
XS1883245331,XS1883245331,OG-Security,2018-09-26,2026-01-15,1.75,1,2018-09-26,EUR,1
XS1883911924,XS1883911924,OG-Security,2018-09-25,2023-09-25,0.6,1,2018-09-25,EUR,1
XS1888206627,XS1888206627,OG-Security,2018-10-09,2023-10-09,1.125,1,2018-10-09,EUR,1
XS1892240281,XS1892240281,OG-Security,2018-10-11,2022-10-11,1.25,1,2018-10-11,EUR,1
XS1893621026,XS1893621026,OG-Security,2018-10-12,2025-10-13,1.875,1,2018-10-12,EUR,1
XS1896660989,XS1896660989,OG-Security,2018-10-22,2025-04-22,1,1,2018-10-22,EUR,1
XS1896662175,XS1896662175,OG-Security,2018-10-22,2027-10-22,1.5,1,2018-10-22,EUR,1
XS1900750107,XS1900750107,OG-Security,2018-10-30,2024-10-30,0.625,1,2018-10-30,EUR,1
XS1901055472,XS1901055472,OG-Security,2018-10-31,2033-10-31,1.875,1,2018-10-31,EUR,1
XS1904312318,XS1904312318,OG-Security,2018-11-07,2028-08-07,0.75,1,2018-11-07,EUR,1
XS1904690341,XS1904690341,OG-Security,2018-11-14,2030-11-14,2.375,1,2018-11-14,EUR,1
XS1907120528,XS1907120528,OG-Security,2018-12-03,2026-09-05,1.8,1,2018-09-04,EUR,1
XS1907120791,XS1907120791,OG-Security,2018-12-03,2029-09-05,2.35,1,2018-09-04,EUR,1
XS1908273219,XS1908273219,OG-Security,2018-11-13,2027-11-13,1.875,1,2018-11-13,EUR,1
XS1908370171,XS1908370171,OG-Security,2018-11-15,2027-05-15,2.125,1,2018-11-15,EUR,1
XS1909186451,XS1909186451,OG-Security,2018-11-15,2030-11-15,2.5,1,2018-11-15,EUR,1
XS1910245593,XS1910245593,OG-Security,2018-11-14,2022-01-14,0.25,1,2018-11-14,EUR,1
XS1910245676,XS1910245676,OG-Security,2018-11-14,2024-11-14,1,1,2018-11-14,EUR,1
XS1917358621,XS1917358621,OG-Security,2018-12-05,2028-12-05,1.625,1,2018-12-05,EUR,1
XS1917590959,XS1917590959,OG-Security,2018-12-04,2028-12-04,1.875,1,2018-12-04,EUR,1
XS1917601582,XS1917601582,OG-Security,2018-12-04,2024-12-04,1.5,1,2018-12-04,EUR,1
XS1933817824,XS1933817824,OG-Security,2019-01-10,2024-01-10,0,1,2019-01-10,EUR,1
XS1933820372,XS1933820372,OG-Security,2019-01-10,2026-01-10,2.125,1,2019-01-10,EUR,1
XS1933829324,XS1933829324,OG-Security,2019-01-09,2022-01-10,0.25,1,2019-01-09,EUR,1
XS1935139995,XS1935139995,OG-Security,2019-01-15,2024-01-15,0.875,1,2019-01-15,EUR,1
XS1935261013,XS1935261013,OG-Security,2019-01-28,2021-11-23,0.25,1,2019-01-28,EUR,1
XS1936658530,XS1936658530,OG-Security,2019-01-15,2021-01-15,0.26,4,2019-01-15,EUR,1
XS1936805776,XS1936805776,OG-Security,2019-01-18,2024-02-01,2.375,1,2019-01-18,EUR,1
XS1936850137,XS1936850137,OG-Security,2019-01-22,2023-01-22,0,1,2019-01-22,EUR,1
XS1937665955,XS1937665955,OG-Security,2019-01-21,2025-07-21,1.5,1,2019-01-21,EUR,1
XS1938387237,XS1938387237,OG-Security,2019-01-22,2029-01-22,0.625,1,2019-01-22,EUR,1
XS1939355753,XS1939355753,OG-Security,2019-01-29,2022-01-29,0.5,1,2019-01-29,EUR,1
XS1942756096,XS1942756096,OG-Security,2019-01-30,2029-01-30,0.625,1,2019-01-30,EUR,1
XS1944456109,XS1944456109,OG-Security,2019-01-31,2025-01-31,0.875,1,2019-01-31,EUR,1
XS1945110606,XS1945110606,OG-Security,2019-01-31,2027-01-29,1.25,1,2019-01-31,EUR,1
XS1945110861,XS1945110861,OG-Security,2019-01-31,2031-01-31,1.75,1,2019-01-31,EUR,1
XS1948612905,XS1948612905,OG-Security,2019-02-06,2023-10-06,0.625,1,2019-02-06,EUR,1
XS1955024986,XS1955024986,OG-Security,2019-03-08,2031-03-08,1.25,1,2019-03-08,EUR,1
XS1955187775,XS1955187775,OG-Security,2019-02-28,2028-02-28,0.9,1,2019-02-28,EUR,1
XS1957442541,XS1957442541,OG-Security,2019-02-28,2025-08-28,1.25,1,2019-02-28,EUR,1
XS1957541953,XS1957541953,OG-Security,2019-02-28,2022-05-24,1.375,1,2019-02-28,EUR,1
XS1958214964,XS1958214964,OG-Security,2019-03-07,2022-03-07,0.125,1,2019-03-07,EUR,1
XS1960248919,XS1960248919,OG-Security,2019-03-11,2027-03-11,1.09,1,2019-03-11,EUR,1
XS1960589155,XS1960589155,OG-Security,2019-03-14,2034-03-14,1.875,1,2019-03-14,EUR,1
XS1960678255,XS1960678255,OG-Security,2019-03-07,2027-03-07,1.125,1,2019-03-07,EUR,1
XS1962554785,XS1962554785,OG-Security,2019-03-15,2024-03-15,0.625,1,2019-03-15,EUR,1
XS1966038249,XS1966038249,OG-Security,2019-03-26,2029-03-26,1.375,1,2019-03-26,EUR,1
XS1967635977,XS1967635977,OG-Security,2019-03-27,2027-09-27,2.375,1,2019-03-27,EUR,1
XS1968846532,XS1968846532,OG-Security,2019-03-27,2026-03-27,1.125,1,2019-03-27,EUR,1
XS1974787480,XS1974787480,OG-Security,2019-04-04,2099-12-31,1.75,1,2019-04-04,EUR,1
XS1978200555,XS1978200555,OG-Security,2019-04-09,2021-04-09,0,1,2019-04-09,EUR,1
XS1978668298,XS1978668298,OG-Security,2019-04-09,2024-04-09,2,1,2019-04-09,EUR,1
XS1979262448,XS1979262448,OG-Security,2019-04-09,2024-04-09,0.25,1,2019-04-09,EUR,1
XS1979280853,XS1979280853,OG-Security,2019-04-08,2027-04-08,0.875,1,2019-04-08,EUR,1
XS1979447064,XS1979447064,OG-Security,2019-04-09,2029-04-09,0.375,1,2019-04-09,EUR,1
XS1980857319,XS1980857319,OG-Security,2019-04-09,2042-11-14,1,1,2019-04-09,EUR,1
XS1981054221,XS1981054221,OG-Security,2019-04-12,2029-04-12,1.125,1,2019-04-12,EUR,1
XS1982037696,XS1982037696,OG-Security,2019-04-15,2026-04-15,0.5,1,2019-04-15,EUR,1
XS1982725159,XS1982725159,OG-Security,2019-04-16,2024-04-16,0.375,1,2019-04-16,EUR,1
XS1985806600,XS1985806600,OG-Security,2019-04-25,2024-04-25,0.375,1,2019-04-25,EUR,1
XS1986416268,XS1986416268,OG-Security,2019-04-29,2027-04-29,0.875,1,2019-04-29,EUR,1
XS1987097430,XS1987097430,OG-Security,2019-04-26,2024-04-26,0.5,1,2019-04-26,EUR,1
XS1989375503,XS1989375503,OG-Security,2019-04-29,2024-07-26,0.637,1,2019-04-29,EUR,1
XS1989708836,XS1989708836,OG-Security,2019-05-02,2049-05-02,3.375,1,2019-05-02,EUR,1
XS1995781546,XS1995781546,OG-Security,2019-05-14,2027-05-14,1,1,2019-05-14,EUR,1
XS1998797663,XS1998797663,OG-Security,2019-05-20,2024-05-20,0.25,1,2019-05-20,EUR,1
XS1998902479,XS1998902479,OG-Security,2019-06-05,2023-09-15,1.95,1,2018-09-15,EUR,1
XS1999675926,XS1999675926,OG-Security,2019-05-21,2020-12-21,0,4,2019-05-21,EUR,1
XS2000538343,XS2000538343,OG-Security,2019-05-22,2026-05-22,0.875,1,2019-05-22,EUR,1
XS2001175657,XS2001175657,OG-Security,2019-05-22,2026-05-22,0.5,1,2019-05-22,EUR,1
XS2001183164,XS2001183164,OG-Security,2019-05-24,2027-05-24,1.5,1,2019-05-24,EUR,1
XS2002017361,XS2002017361,OG-Security,2019-05-24,2026-11-24,0.9,1,2019-05-24,EUR,1
XS2002018500,XS2002018500,OG-Security,2019-05-24,2030-11-24,1.625,1,2019-05-24,EUR,1
XS2002491780,XS2002491780,OG-Security,2019-06-03,2030-06-03,0.875,1,2019-06-03,EUR,1
XS2003499386,XS2003499386,OG-Security,2019-05-28,2026-05-28,0.375,1,2019-05-28,EUR,1
XS2004381674,XS2004381674,OG-Security,2019-05-31,2028-05-31,0.696,1,2019-05-31,EUR,1
XS2006277508,XS2006277508,OG-Security,2019-06-26,2027-06-26,0.75,1,2019-06-26,EUR,1
XS2009152591,XS2009152591,OG-Security,2019-06-11,2025-06-11,0.875,1,2019-06-11,EUR,1
XS2010032022,XS2010032022,OG-Security,2020-04-02,2027-04-15,1.75,1,2020-04-02,EUR,1
XS2010032378,XS2010032378,OG-Security,2020-02-25,2030-02-25,0.25,1,2020-02-25,EUR,1
XS2010044977,XS2010044977,OG-Security,2019-09-05,2079-12-05,1.625,1,2019-09-05,EUR,1
XS2010445026,XS2010445026,OG-Security,2019-06-13,2022-07-13,0.125,1,2019-06-13,EUR,1
XS2011260531,XS2011260531,OG-Security,2019-06-25,2079-06-25,1.625,1,2019-06-25,EUR,1
XS2013536029,XS2013536029,OG-Security,2019-06-18,2024-06-18,0.125,1,2019-06-18,EUR,1
XS2013574038,XS2013574038,OG-Security,2019-06-19,2026-06-19,1.375,1,2019-06-19,EUR,1
XS2013745703,XS2013745703,OG-Security,2019-06-21,2026-06-21,1,1,2019-06-21,EUR,1
XS2015227494,XS2015227494,OG-Security,2019-06-20,2029-06-20,0.125,1,2019-06-20,EUR,1
XS2016807864,XS2016807864,OG-Security,2019-06-24,2024-06-24,0.5,1,2019-06-24,EUR,1
XS2018636600,XS2018636600,OG-Security,2019-06-26,2025-06-26,0.25,1,2019-06-26,EUR,1
XS2018637327,XS2018637327,OG-Security,2019-07-01,2027-12-01,1.125,1,2019-07-01,EUR,1
XS2019260764,XS2019260764,OG-Security,2019-06-27,2029-06-27,1,1,2019-06-27,EUR,1
XS2021467753,XS2021467753,OG-Security,2019-07-02,2027-07-02,0.9,1,2019-07-02,EUR,1
XS2022093434,XS2022093434,OG-Security,2019-07-03,2025-07-03,0,1,2019-07-03,EUR,1
XS2023644201,XS2023644201,OG-Security,2019-07-05,2027-07-05,0.375,1,2019-07-05,EUR,1
XS2024715794,XS2024715794,OG-Security,2019-07-05,2027-07-05,0.5,1,2019-07-05,EUR,1
XS2025466413,XS2025466413,OG-Security,2019-07-15,2025-07-15,0.625,1,2019-07-15,EUR,1
XS2029574634,XS2029574634,OG-Security,2019-07-18,2023-07-18,0.375,1,2019-07-18,EUR,1
XS2031862076,XS2031862076,OG-Security,2019-07-23,2024-07-23,0.125,1,2019-07-23,EUR,1
XS2035564629,XS2035564629,OG-Security,2019-08-05,2079-08-05,1.625,1,2019-08-05,EUR,1
XS2042667944,XS2042667944,OG-Security,2019-09-20,2029-09-20,0.625,1,2019-09-20,EUR,1
XS2043678841,XS2043678841,OG-Security,2019-08-19,2024-08-19,0.125,1,2019-08-19,EUR,1
XS2046595836,XS2046595836,OG-Security,2019-08-27,2025-08-27,0.5,1,2019-08-27,EUR,1
XS2047500769,XS2047500769,OG-Security,2019-08-28,2024-08-28,0,1,2019-08-28,EUR,1
XS2047500926,XS2047500926,OG-Security,2019-08-28,2030-02-28,0.35,1,2019-08-28,EUR,1
XS2049090595,XS2049090595,OG-Security,2019-09-10,2029-09-10,0.125,1,2019-09-10,EUR,1
XS2049154078,XS2049154078,OG-Security,2019-09-03,2025-09-03,0.1,1,2019-09-03,EUR,1
XS2049616621,XS2049616621,OG-Security,2019-09-05,2029-09-05,0.125,1,2019-09-05,EUR,1
XS2050404800,XS2050404800,OG-Security,2019-09-18,2028-03-18,0.45,1,2019-09-18,EUR,1
XS2050406094,XS2050406094,OG-Security,2019-09-18,2031-09-18,0.75,1,2019-09-18,EUR,1
XS2051361264,XS2051361264,OG-Security,2019-09-11,2026-03-04,0.25,1,2019-09-11,EUR,1
XS2051362312,XS2051362312,OG-Security,2019-09-11,2039-09-14,1.8,1,2019-09-11,EUR,1
XS2052313827,XS2052313827,OG-Security,2019-09-17,2031-09-17,1.625,1,2019-09-17,EUR,1
XS2052320954,XS2052320954,OG-Security,2019-09-19,2032-03-19,0.875,1,2019-09-19,EUR,1
XS2052503872,XS2052503872,OG-Security,2019-09-16,2024-09-16,0.01,1,2019-09-16,EUR,1
XS2053052895,XS2053052895,OG-Security,2019-09-16,2026-09-16,0.375,1,2019-09-16,EUR,1
XS2055627538,XS2055627538,OG-Security,2019-09-25,2026-09-25,0.375,1,2019-09-25,EUR,1
XS2055728054,XS2055728054,OG-Security,2019-09-24,2027-09-24,0.375,1,2019-09-24,EUR,1
XS2055758804,XS2055758804,OG-Security,2019-09-26,2024-10-01,0.625,1,2019-09-26,EUR,1
XS2056400299,XS2056400299,OG-Security,2019-09-25,2030-03-25,0.625,1,2019-09-25,EUR,1
XS2058556296,XS2058556296,OG-Security,2019-09-30,2025-03-01,0.125,1,2019-09-30,EUR,1
XS2058556536,XS2058556536,OG-Security,2019-09-30,2028-03-01,0.5,1,2019-09-30,EUR,1
XS2058729653,XS2058729653,OG-Security,2019-10-02,2024-10-02,0.375,1,2019-10-02,EUR,1
XS2061971615,XS2061971615,OG-Security,2019-10-10,2022-10-10,1.465,4,2019-10-10,EUR,1
XS2063232727,XS2063232727,OG-Security,2019-10-08,2027-10-08,0.5,1,2019-10-08,EUR,1
XS2063261155,XS2063261155,OG-Security,2019-10-09,2024-10-09,0.25,1,2019-10-09,EUR,1
XS2063423318,XS2063423318,OG-Security,2019-10-10,2050-01-10,0.25,1,2019-10-10,EUR,1
XS2065946837,XS2065946837,OG-Security,2019-10-11,2034-10-11,1,1,2019-10-11,EUR,1
XS2066392452,XS2066392452,OG-Security,2019-10-23,2029-10-23,0.632,1,2019-10-23,EUR,1
