Reference,Date,Value
EUR-EURIBOR-6M,2020-05-05,-0.00165
USD-LIBOR-3M,2020-05-05,0.00474
EUR-EURIBOR-6M,2020-05-06,-0.00136
USD-LIBOR-3M,2020-05-06,0.0044763
EUR-EURIBOR-6M,2020-05-07,-0.00114
USD-LIBOR-3M,2020-05-07,0.0043463
EUR-EURIBOR-6M,2020-05-08,-0.00145
EUR-EURIBOR-6M,2020-05-11,-0.00147
USD-LIBOR-3M,2020-05-11,0.004335
EUR-EURIBOR-6M,2020-05-12,-0.00147
USD-LIBOR-3M,2020-05-12,0.00424
EUR-EURIBOR-6M,2020-05-13,-0.00142
USD-LIBOR-3M,2020-05-13,0.0039238
EUR-EURIBOR-6M,2020-05-14,-0.00137
USD-LIBOR-3M,2020-05-14,0.0038563
EUR-EURIBOR-6M,2020-05-15,-0.00131
USD-LIBOR-3M,2020-05-15,0.003805
EUR-EURIBOR-6M,2020-05-18,-0.00137
USD-LIBOR-3M,2020-05-18,0.0037663
EUR-EURIBOR-6M,2020-05-19,-0.00138
USD-LIBOR-3M,2020-05-19,0.0037413
EUR-EURIBOR-6M,2020-05-20,-0.00139
USD-LIBOR-3M,2020-05-20,0.00358
EUR-EURIBOR-6M,2020-05-21,-0.00145
USD-LIBOR-3M,2020-05-21,0.003595
EUR-EURIBOR-6M,2020-05-22,-0.00154
USD-LIBOR-3M,2020-05-22,0.0036925
EUR-EURIBOR-6M,2020-05-25,-0.00145
EUR-EURIBOR-6M,2020-05-26,-0.00133
USD-LIBOR-3M,2020-05-26,0.0037125
EUR-EURIBOR-6M,2020-05-27,-0.00149
USD-LIBOR-3M,2020-05-27,0.003625
EUR-EURIBOR-6M,2020-05-28,-0.00142
USD-LIBOR-3M,2020-05-28,0.0035
EUR-EURIBOR-6M,2020-05-29,-0.00158
USD-LIBOR-3M,2020-05-29,0.00344
EUR-EURIBOR-6M,2020-06-01,-0.00163
USD-LIBOR-3M,2020-06-01,0.0033713
EUR-EURIBOR-6M,2020-06-02,-0.00182
USD-LIBOR-3M,2020-06-02,0.003305
EUR-EURIBOR-6M,2020-06-03,-0.00174
USD-LIBOR-3M,2020-06-03,0.0032663
EUR-EURIBOR-6M,2020-06-04,-0.00179
USD-LIBOR-3M,2020-06-04,0.0031763
EUR-EURIBOR-6M,2020-06-05,-0.00196
USD-LIBOR-3M,2020-06-05,0.0031288
EUR-EURIBOR-6M,2020-06-08,-0.00195
USD-LIBOR-3M,2020-06-08,0.0030975
EUR-EURIBOR-6M,2020-06-09,-0.00194
USD-LIBOR-3M,2020-06-09,0.0031463
EUR-EURIBOR-6M,2020-06-10,-0.00193
USD-LIBOR-3M,2020-06-10,0.0031838
EUR-EURIBOR-6M,2020-06-11,-0.00183
USD-LIBOR-3M,2020-06-11,0.0031338
EUR-EURIBOR-6M,2020-06-12,-0.00199
USD-LIBOR-3M,2020-06-12,0.0032088
EUR-EURIBOR-6M,2020-06-15,-0.00206
USD-LIBOR-3M,2020-06-15,0.00299
EUR-EURIBOR-6M,2020-06-16,-0.00206
USD-LIBOR-3M,2020-06-16,0.0030788
EUR-EURIBOR-6M,2020-06-17,-0.00215
USD-LIBOR-3M,2020-06-17,0.0031625
EUR-EURIBOR-6M,2020-06-18,-0.00228
USD-LIBOR-3M,2020-06-18,0.0030638
EUR-EURIBOR-6M,2020-06-19,-0.00234
USD-LIBOR-3M,2020-06-19,0.0030513
EUR-EURIBOR-6M,2020-06-22,-0.00259
USD-LIBOR-3M,2020-06-22,0.0029663
EUR-EURIBOR-6M,2020-06-23,-0.00269
USD-LIBOR-3M,2020-06-23,0.0029688
EUR-EURIBOR-6M,2020-06-24,-0.00278
USD-LIBOR-3M,2020-06-24,0.0028375
EUR-EURIBOR-6M,2020-06-25,-0.00268
USD-LIBOR-3M,2020-06-25,0.00306
EUR-EURIBOR-6M,2020-06-26,-0.00283
USD-LIBOR-3M,2020-06-26,0.0030788
EUR-EURIBOR-6M,2020-06-29,-0.00287
USD-LIBOR-3M,2020-06-29,0.0029613
EUR-EURIBOR-6M,2020-06-30,-0.00308
USD-LIBOR-3M,2020-06-30,0.00302
