Valuation Date,Symbology,Ticker,Field Name,Value
2020-06-30,OG-Ticker,EUSP0A15 CURNCY,MarketValue,1.59
2020-06-30,OG-Ticker,EUSP0A2 CURNCY,MarketValue,0.075
2020-06-30,OG-Ticker,EUSP0A20 CURNCY,MarketValue,2.385
2020-06-30,OG-Ticker,EUSP0A3 CURNCY,MarketValue,0.135
2020-06-30,OG-Ticker,EUSP0A30 CURNCY,MarketValue,4
2020-06-30,OG-Ticker,EUSP0A4 CURNCY,MarketValue,0.225
2020-06-30,OG-Ticker,EUSP0A5 CURNCY,MarketValue,0.3175
2020-06-30,OG-Ticker,EUSP0A6 CURNCY,MarketValue,0.425
2020-06-30,OG-Ticker,EUSP0A7 CURNCY,MarketValue,0.535
2020-06-30,OG-Ticker,EUSP0A8 CURNCY,MarketValue,0.65
2020-06-30,OG-Ticker,EUSP0A9 CURNCY,MarketValue,0.76
2020-06-30,OG-Ticker,EUSP0B1 CURNCY,MarketValue,0.055
2020-06-30,OG-Ticker,EUSP0B10 CURNCY,MarketValue,1.345
2020-06-30,OG-Ticker,EUSP0B15 CURNCY,MarketValue,2.4
2020-06-30,OG-Ticker,EUSP0B2 CURNCY,MarketValue,0.1125
2020-06-30,OG-Ticker,EUSP0B20 CURNCY,MarketValue,3.58
2020-06-30,OG-Ticker,EUSP0B3 CURNCY,MarketValue,0.205
2020-06-30,OG-Ticker,EUSP0B30 CURNCY,MarketValue,6.01
2020-06-30,OG-Ticker,EUSP0B4 CURNCY,MarketValue,0.335
2020-06-30,OG-Ticker,EUSP0B5 CURNCY,MarketValue,0.475
2020-06-30,OG-Ticker,EUSP0B6 CURNCY,MarketValue,0.64
2020-06-30,OG-Ticker,EUSP0B7 CURNCY,MarketValue,0.81
2020-06-30,OG-Ticker,EUSP0B8 CURNCY,MarketValue,0.99
2020-06-30,OG-Ticker,EUSP0B9 CURNCY,MarketValue,1.16
2020-06-30,OG-Ticker,EUSP0C1 CURNCY,MarketValue,0.07
2020-06-30,OG-Ticker,EUSP0C10 CURNCY,MarketValue,1.715
2020-06-30,OG-Ticker,EUSP0C15 CURNCY,MarketValue,3.04
2020-06-30,OG-Ticker,EUSP0C2 CURNCY,MarketValue,0.15
2020-06-30,OG-Ticker,EUSP0C20 CURNCY,MarketValue,4.53
2020-06-30,OG-Ticker,EUSP0C25 CURNCY,MarketValue,6.01
2020-06-30,OG-Ticker,EUSP0C3 CURNCY,MarketValue,0.27
2020-06-30,OG-Ticker,EUSP0C30 CURNCY,MarketValue,7.57
2020-06-30,OG-Ticker,EUSP0C4 CURNCY,MarketValue,0.435
2020-06-30,OG-Ticker,EUSP0C5 CURNCY,MarketValue,0.6125
2020-06-30,OG-Ticker,EUSP0C6 CURNCY,MarketValue,0.825
2020-06-30,OG-Ticker,EUSP0C7 CURNCY,MarketValue,1.04
2020-06-30,OG-Ticker,EUSP0C8 CURNCY,MarketValue,1.26
2020-06-30,OG-Ticker,EUSP0C9 CURNCY,MarketValue,1.48
2020-06-30,OG-Ticker,EUSP0F1 CURNCY,MarketValue,0.1025
2020-06-30,OG-Ticker,EUSP0F10 CURNCY,MarketValue,2.615
2020-06-30,OG-Ticker,EUSP0F15 CURNCY,MarketValue,4.53
2020-06-30,OG-Ticker,EUSP0F2 CURNCY,MarketValue,0.245
2020-06-30,OG-Ticker,EUSP0F20 CURNCY,MarketValue,6.61
2020-06-30,OG-Ticker,EUSP0F3 CURNCY,MarketValue,0.43
2020-06-30,OG-Ticker,EUSP0F30 CURNCY,MarketValue,11.08
2020-06-30,OG-Ticker,EUSP0F4 CURNCY,MarketValue,0.675
2020-06-30,OG-Ticker,EUSP0F5 CURNCY,MarketValue,0.935
2020-06-30,OG-Ticker,EUSP0F6 CURNCY,MarketValue,1.245
2020-06-30,OG-Ticker,EUSP0F7 CURNCY,MarketValue,1.575
2020-06-30,OG-Ticker,EUSP0F8 CURNCY,MarketValue,1.92
2020-06-30,OG-Ticker,EUSP0F9 CURNCY,MarketValue,2.27
2020-06-30,OG-Ticker,EUSP101 CURNCY,MarketValue,1.43
2020-06-30,OG-Ticker,EUSP1010 CURNCY,MarketValue,14.71
2020-06-30,OG-Ticker,EUSP1015 CURNCY,MarketValue,21.06
2020-06-30,OG-Ticker,EUSP102 CURNCY,MarketValue,2.84
2020-06-30,OG-Ticker,EUSP1020 CURNCY,MarketValue,27.31
2020-06-30,OG-Ticker,EUSP103 CURNCY,MarketValue,4.29
2020-06-30,OG-Ticker,EUSP1030 CURNCY,MarketValue,38.69
2020-06-30,OG-Ticker,EUSP104 CURNCY,MarketValue,5.76
2020-06-30,OG-Ticker,EUSP105 CURNCY,MarketValue,7.22
2020-06-30,OG-Ticker,EUSP106 CURNCY,MarketValue,8.69
2020-06-30,OG-Ticker,EUSP107 CURNCY,MarketValue,10.17
2020-06-30,OG-Ticker,EUSP108 CURNCY,MarketValue,11.68
2020-06-30,OG-Ticker,EUSP109 CURNCY,MarketValue,13.19
2020-06-30,OG-Ticker,EUSP151 CURNCY,MarketValue,1.735
2020-06-30,OG-Ticker,EUSP1510 CURNCY,MarketValue,17.56
2020-06-30,OG-Ticker,EUSP1515 CURNCY,MarketValue,25.14
2020-06-30,OG-Ticker,EUSP152 CURNCY,MarketValue,3.43
2020-06-30,OG-Ticker,EUSP1520 CURNCY,MarketValue,32.49
2020-06-30,OG-Ticker,EUSP153 CURNCY,MarketValue,5.18
2020-06-30,OG-Ticker,EUSP1530 CURNCY,MarketValue,46.11
