Expiry,Strike,Maturity,Waarde
10,6,3,0.51
11,6,3,0.53
12,6,3,0.54
13,6,3,0.55
14,6,3,0.56
15,6,3,0.56
16,6,3,0.56
17,6,3,0.55
18,6,3,0.54
19,6,3,0.53
1,7,3,0.47
2,7,3,0.48
3,7,3,0.45
4,7,3,0.42
5,7,3,0.39
6,7,3,0.4
7,7,3,0.45
8,7,3,0.48
9,7,3,0.49
10,7,3,0.52
11,7,3,0.54
12,7,3,0.55
13,7,3,0.56
14,7,3,0.57
15,7,3,0.57
16,7,3,0.57
17,7,3,0.56
18,7,3,0.55
19,7,3,0.54
1,8,3,0.72
2,8,3,0.73
3,8,3,0.66
4,8,3,0.6
5,8,3,0.53
6,8,3,0.5
7,8,3,0.52
8,8,3,0.53
9,8,3,0.53
10,8,3,0.55
11,8,3,0.57
12,8,3,0.58
13,8,3,0.59
14,8,3,0.59
15,8,3,0.59
16,8,3,0.59
17,8,3,0.58
18,8,3,0.57
19,8,3,0.56
1,9,3,1.17
2,9,3,1.19
3,9,3,1.05
4,9,3,0.93
5,9,3,0.8
6,9,3,0.7
7,9,3,0.69
8,9,3,0.67
9,9,3,0.63
10,9,3,0.65
11,9,3,0.66
12,9,3,0.67
13,9,3,0.67
14,9,3,0.67
15,9,3,0.66
16,9,3,0.66
17,9,3,0.63
18,9,3,0.62
19,9,3,0.61
1,10,3,1.6
2,10,3,1.61
3,10,3,1.41
4,10,3,1.24
5,10,3,1.05
6,10,3,0.89
7,10,3,0.87
8,10,3,0.82
9,10,3,0.75
10,10,3,0.77
11,10,3,0.78
12,10,3,0.78
13,10,3,0.77
14,10,3,0.77
15,10,3,0.75
16,10,3,0.72
17,10,3,0.7
18,10,3,0.67
19,10,3,0.67
1,11,3,2.01
2,11,3,2.01
3,11,3,1.76
4,11,3,1.54
5,11,3,1.3
6,11,3,1.08
7,11,3,1.04
8,11,3,0.97
9,11,3,0.87
10,11,3,0.88
11,11,3,0.9
12,11,3,0.89
13,11,3,0.88
14,11,3,0.87
15,11,3,0.83
16,11,3,0.79
17,11,3,0.77
18,11,3,0.73
19,11,3,0.73
1,12,3,2.4
2,12,3,2.41
3,12,3,2.1
4,12,3,1.83
5,12,3,1.53
6,12,3,1.26
7,12,3,1.21
8,12,3,1.11
9,12,3,0.98
10,12,3,1
11,12,3,1.02
12,12,3,1
13,12,3,0.99
14,12,3,0.98
15,12,3,0.92
16,12,3,0.86
17,12,3,0.84
18,12,3,0.8
19,12,3,0.8
1,1,4,0.72
2,1,4,0.75
3,1,4,0.65
4,1,4,0.58
5,1,4,0.5
6,1,4,0.47
7,1,4,0.48
8,1,4,0.47
9,1,4,0.45
10,1,4,0.47
11,1,4,0.49
12,1,4,0.51
13,1,4,0.52
14,1,4,0.53
15,1,4,0.5
16,1,4,0.45
17,1,4,0.36
18,1,4,0.35
19,1,4,0.33
1,2,4,0.58
2,2,4,0.61
3,2,4,0.54
4,2,4,0.5
5,2,4,0.44
6,2,4,0.44
7,2,4,0.46
8,2,4,0.48
9,2,4,0.48
10,2,4,0.51
11,2,4,0.53
12,2,4,0.54
13,2,4,0.55
14,2,4,0.56
15,2,4,0.55
16,2,4,0.53
17,2,4,0.49
18,2,4,0.47
19,2,4,0.46
1,3,4,0.39
2,3,4,0.42
3,3,4,0.39
4,3,4,0.38
5,3,4,0.36
6,3,4,0.39
7,3,4,0.43
8,3,4,0.46
9,3,4,0.48
10,3,4,0.5
11,3,4,0.52
12,3,4,0.54
13,3,4,0.55
14,3,4,0.56
15,3,4,0.55
16,3,4,0.54
17,3,4,0.52
18,3,4,0.51
19,3,4,0.5
1,4,4,0.29
2,4,4,0.31
3,4,4,0.32
4,4,4,0.33
5,4,4,0.33
6,4,4,0.38
7,4,4,0.42
8,4,4,0.46
9,4,4,0.48
10,4,4,0.51
11,4,4,0.53
12,4,4,0.54
13,4,4,0.55
14,4,4,0.56
15,4,4,0.55
16,4,4,0.55
17,4,4,0.53
18,4,4,0.52
19,4,4,0.51
1,5,4,0.24
2,5,4,0.27
3,5,4,0.29
4,5,4,0.31
5,5,4,0.32
6,5,4,0.38
7,5,4,0.42
8,5,4,0.46
9,5,4,0.49
10,5,4,0.51
11,5,4,0.53
12,5,4,0.54
13,5,4,0.55
14,5,4,0.56
15,5,4,0.55
16,5,4,0.55
17,5,4,0.54
18,5,4,0.53
19,5,4,0.52
1,6,4,0.37
2,6,4,0.39
3,6,4,0.37
4,6,4,0.36
5,6,4,0.36
6,6,4,0.4
7,6,4,0.44
8,6,4,0.47
9,6,4,0.49
10,6,4,0.52
11,6,4,0.53
12,6,4,0.55
13,6,4,0.55
14,6,4,0.56
15,6,4,0.56
16,6,4,0.56
17,6,4,0.55
18,6,4,0.54
19,6,4,0.53
1,7,4,0.5
2,7,4,0.52
3,7,4,0.47
4,7,4,0.45
5,7,4,0.42
6,7,4,0.43
7,7,4,0.47
8,7,4,0.49
9,7,4,0.51
10,7,4,0.53
11,7,4,0.54
12,7,4,0.55
13,7,4,0.56
14,7,4,0.57
15,7,4,0.57
16,7,4,0.57
17,7,4,0.56
18,7,4,0.55
19,7,4,0.54
1,8,4,0.76
2,8,4,0.78
3,8,4,0.67
4,8,4,0.62
5,8,4,0.55
6,8,4,0.52
7,8,4,0.54
8,8,4,0.55
9,8,4,0.54
10,8,4,0.56
11,8,4,0.57
12,8,4,0.58
13,8,4,0.59
14,8,4,0.59
15,8,4,0.59
16,8,4,0.59
17,8,4,0.58
18,8,4,0.57
19,8,4,0.56
1,9,4,1.23
2,9,4,1.26
3,9,4,1.05
4,9,4,0.94
5,9,4,0.8
6,9,4,0.72
7,9,4,0.7
8,9,4,0.67
9,9,4,0.64
10,9,4,0.65
11,9,4,0.66
12,9,4,0.66
13,9,4,0.67
14,9,4,0.67
15,9,4,0.66
16,9,4,0.65
17,9,4,0.64
18,9,4,0.62
19,9,4,0.61
1,10,4,1.66
2,10,4,1.7
3,10,4,1.41
4,10,4,1.24
5,10,4,1.04
6,10,4,0.91
7,10,4,0.87
8,10,4,0.82
9,10,4,0.75
10,10,4,0.77
11,10,4,0.77
12,10,4,0.77
13,10,4,0.76
14,10,4,0.76
15,10,4,0.74
16,10,4,0.72
17,10,4,0.68
18,10,4,0.68
19,10,4,0.68
1,11,4,2.08
2,11,4,2.12
3,11,4,1.75
4,11,4,1.53
5,11,4,1.28
6,11,4,1.1
7,11,4,1.04
8,11,4,0.96
9,11,4,0.86
10,11,4,0.89
11,11,4,0.88
12,11,4,0.87
13,11,4,0.86
