Id,Id Scheme,Start Date,End Date,Fixed Rate
FR0013257524,OG,2017-05-25,2048-05-25,2
FR0013283371,OG,2017-09-26,2022-09-26,0.75
FR0013286192,OG,2017-10-09,2028-05-25,0.75
FR0013286788,OG,2017-10-13,2027-10-13,1.125
FR0013286838,OG,2017-10-16,2024-10-16,1
FR0013298684,OG,2017-11-27,2023-03-27,0.625
FR0013310455,OG,2018-01-22,2030-01-22,1.375
FR0013310505,OG,2018-01-16,2099-12-31,1.375
FR0013311016,OG,2018-01-22,2021-02-25,0
FR0013312493,OG,NULL,2024-01-31,0.875
FR0013313582,OG,2018-02-05,2034-05-25,1.25
FR0013323870,OG,2018-03-20,2028-03-20,1.375
FR0013327988,OG,2018-04-18,2028-04-18,1.75
FR0013332970,OG,2018-05-15,2021-05-14,0.125
FR0013341682,OG,2018-06-11,2028-11-25,0.75
FR0013344686,OG,NULL,2028-06-22,1.375
FR0013344751,OG,2018-06-25,2024-03-25,0
FR0013359197,OG,2018-09-12,2025-09-12,1
FR0013359239,OG,NULL,2030-09-12,1.875
FR0013359254,OG,NULL,2030-09-17,1.625
FR0013367612,OG,NULL,2099-12-31,4
FR0013368164,OG,2018-09-27,2030-09-27,1.5
FR0013368545,OG,NULL,2030-10-02,2
FR0013381704,OG,2018-11-20,2030-11-20,2.375
FR0013383213,OG,2018-12-04,2026-05-04,1.75
FR0013384567,OG,2018-11-30,2028-11-30,1.45
FR0013385473,OG,2018-12-05,2030-01-07,1.94
FR0013393774,OG,2019-01-11,2024-07-11,2
FR0013396496,OG,2019-01-15,2022-01-15,0.5
FR0013396512,OG,2019-01-15,2024-07-15,1.125
FR0013396520,OG,2019-01-15,2029-01-15,2
FR0013396876,OG,2019-01-15,2028-01-15,1.5
FR0013397452,OG,2019-01-18,2029-01-18,1.625
FR0013398070,OG,2019-01-23,2027-01-23,2.125
FR0013398229,OG,2019-01-28,2099-12-31,3.25
FR0013403441,OG,NULL,2024-02-15,1.25
FR0013404571,OG,NULL,2031-02-21,1.375
FR0013404969,OG,2019-02-26,2050-05-25,1.5
FR0013405537,OG,2019-02-28,2024-08-28,1.125
FR0013409851,OG,2019-03-21,2034-03-21,1.25
FR0013412343,OG,NULL,2025-04-01,1
FR0013412947,OG,2019-04-08,2026-06-08,0.75
FR0013415627,OG,2019-04-24,2025-03-25,0
FR0013415692,OG,2019-04-24,2029-04-24,1.375
FR0013419736,OG,2019-05-15,2027-05-17,1
FR0013421369,OG,2019-05-23,2029-05-23,1.125
FR0013422003,OG,2019-05-27,2022-05-27,0
FR0013425162,OG,2019-06-18,2029-06-18,1.875
FR0013429073,OG,NULL,2024-09-26,0.625
FR0013432770,OG,2019-07-04,2024-02-05,0.125
FR0013433596,OG,2019-07-12,2026-07-12,0.25
FR0013444304,OG,2019-09-03,2027-09-03,0.1
FR0013444684,OG,NULL,2032-09-04,0.5
FR0013444775,OG,2019-09-04,2027-03-04,0
FR0013444841,OG,2019-09-06,2021-09-06,0.298
FR0013445137,OG,2019-09-09,2027-09-09,0
FR0013445335,OG,2019-09-12,2099-12-31,1.625
FR0013447877,OG,2019-09-19,2099-12-31,1.75
FR0013451507,OG,2019-10-07,2029-11-25,0
FR0013455540,OG,2019-10-24,2027-02-24,0.5
FR0013463775,OG,2019-11-27,2050-07-27,2
FR0013464815,OG,NULL,2029-12-03,0.75
FR0013464930,OG,2019-12-04,2024-12-04,0.125
FR0013465358,OG,2019-12-04,2026-06-04,0.5
FR0013476090,OG,2020-01-15,2027-01-15,1.125
FR0013476199,OG,2020-01-15,2026-01-15,0.25
FR0013476553,OG,NULL,2030-01-17,0.75
FR0013476611,OG,2020-01-15,2032-01-15,1.125
FR0013479276,OG,2020-01-23,2027-01-25,0.75
FR0013480613,OG,2020-02-04,2052-05-25,0.75
FR0013484458,OG,2020-02-19,2028-02-19,0.5
FR0013486701,OG,2020-02-24,2026-02-24,0.125
FR0013494168,OG,2020-03-11,2029-03-11,0.25
FR0013504644,OG,2020-03-27,2025-03-27,1.375
FR0013504677,OG,NULL,2028-03-27,1.75
